Category: All categories

Day,db stock: (United States)
2019-06-23,14
2019-06-24,12
2019-06-25,10
2019-06-26,17
2019-06-27,13
2019-06-28,12
2019-06-29,5
2019-06-30,5
2019-07-01,19
2019-07-02,15
2019-07-03,10
2019-07-04,9
2019-07-05,20
2019-07-06,4
2019-07-07,30
2019-07-08,100
2019-07-09,77
2019-07-10,33
2019-07-11,27
2019-07-12,27
2019-07-13,13
2019-07-14,0
2019-07-15,21
2019-07-16,15
2019-07-17,21
2019-07-18,10
2019-07-19,26
2019-07-20,4
2019-07-21,4
