timestamp,open,high,low,close,volume
2019-07-24,72.7000,75.4900,69.2500,74.5100,9717455
2019-07-23,93.5500,93.7300,87.8900,89.6300,2373336
2019-07-22,90.9700,93.3300,90.9700,92.3800,855871
2019-07-19,92.5000,92.7800,89.8150,90.4400,713108
2019-07-18,93.4000,93.4800,90.8400,91.6300,628570
2019-07-17,92.2100,94.0000,91.6600,93.5800,683377
2019-07-16,91.2600,92.2400,90.4200,91.4400,412293
2019-07-15,91.3500,92.4800,90.6800,91.2600,430116
2019-07-12,90.5000,91.3500,89.4200,90.8200,518002
2019-07-11,91.1200,91.8300,89.8500,90.2900,336478
2019-07-10,90.0000,91.3300,89.4000,90.7300,668999
2019-07-09,88.9500,90.4600,88.0600,89.5700,559977
2019-07-08,90.1600,90.1600,87.5100,89.0200,671001
2019-07-05,92.1200,94.3000,89.8000,90.3100,656322
2019-07-03,89.7600,91.7500,88.5200,91.2900,344068
2019-07-02,90.8900,91.2050,87.9200,89.4800,671487
2019-07-01,93.9500,96.1000,90.9000,91.3300,588338
2019-06-28,91.1600,92.5500,90.5400,91.6400,629102
2019-06-27,90.4600,91.4200,89.7900,90.5200,355607
2019-06-26,91.1300,91.2300,89.5200,90.2100,356469
2019-06-25,91.5200,91.5200,89.6750,90.5800,446670
2019-06-24,92.0700,92.6600,90.5600,90.9000,406827
2019-06-21,91.8200,92.8800,90.0100,92.2200,1122860
2019-06-20,94.2500,96.5800,91.1410,92.1400,538620
2019-06-19,91.7800,93.3600,91.3600,93.0000,299613
2019-06-18,90.4500,92.8900,90.2250,91.7100,616378
2019-06-17,88.8100,90.5900,88.2500,89.4000,422822
2019-06-14,90.0000,90.0000,88.1800,88.5000,348315
2019-06-13,89.3600,92.8800,89.3600,90.0600,641187
2019-06-12,89.7700,90.3100,87.7300,89.3700,383333
2019-06-11,90.5700,91.2000,88.5000,89.7000,320970
2019-06-10,91.9700,92.7100,89.5100,90.1200,538228
2019-06-07,90.0000,92.4000,89.7000,91.6200,601309
2019-06-06,88.8500,90.0500,87.5700,89.6600,361728
2019-06-05,90.9500,91.2100,86.7900,88.8100,383624
2019-06-04,87.8100,90.1200,87.5150,89.8700,439576
2019-06-03,86.7500,87.8500,86.0000,86.8400,355335
2019-05-31,87.4800,87.9600,86.2950,87.1100,522411
2019-05-30,88.2100,89.5200,87.8300,88.7600,333626
2019-05-29,89.2600,89.7705,87.5700,88.2800,765388
2019-05-28,89.0700,91.0000,88.7600,89.4700,483265
2019-05-24,89.6000,91.0000,88.5700,88.7300,314604
2019-05-23,91.0000,91.8800,87.7400,88.7100,687492
2019-05-22,90.8800,92.7700,90.8800,92.4000,427077
2019-05-21,90.5100,92.3450,90.5100,91.6400,376237
2019-05-20,88.1100,90.7700,87.1200,90.1200,575865
2019-05-17,92.7400,93.2153,89.2256,89.4500,671902
2019-05-16,93.3400,94.8800,92.5300,93.7100,663049
2019-05-15,91.4000,93.3000,90.8400,92.7000,465752
2019-05-14,92.5000,93.4900,90.8900,91.8000,542076
2019-05-13,92.2000,92.2000,89.0600,91.7000,1166019
2019-05-10,96.1900,96.8904,93.7000,94.8000,838174
2019-05-09,96.0500,97.1200,92.3100,96.5300,835469
2019-05-08,98.6200,99.5000,96.6500,96.8500,839433
2019-05-07,99.9900,100.9200,96.8000,98.7300,1085044
2019-05-06,101.4300,102.5000,99.6600,100.4600,1110743
2019-05-03,104.4000,105.0700,102.8200,104.8800,704130
2019-05-02,102.5700,104.5600,100.6900,103.8600,703957
2019-05-01,103.0600,103.5600,101.2300,102.5400,754896
2019-04-30,102.5800,103.5700,100.5900,103.5400,1075397
2019-04-29,101.6000,104.6600,100.7200,101.9500,1441217
2019-04-26,99.3000,100.4516,96.5000,100.0400,1392237
2019-04-25,101.6000,104.0000,98.1500,98.8700,2718485
2019-04-24,109.2100,109.2500,100.2500,100.4200,8786520
2019-04-23,129.4600,132.2999,127.6000,130.5700,1831927
2019-04-22,129.0000,129.0500,124.6000,128.7300,845635
2019-04-18,129.4700,130.6400,127.7400,128.8200,448539
2019-04-17,130.4500,130.9000,127.5400,129.1600,440701
2019-04-16,128.1000,131.3500,127.6626,129.6800,453671
2019-04-15,128.0100,130.1000,126.7600,127.5300,491021
2019-04-12,129.1600,129.9972,127.0600,128.0400,410284
2019-04-11,126.4800,128.9800,126.0000,127.9100,553610
2019-04-10,122.4000,126.4800,121.9700,126.0000,458895
2019-04-09,123.6500,126.4800,121.7300,122.0600,388957
2019-04-08,124.2400,124.4450,121.5900,123.8600,367437
2019-04-05,122.9100,124.8900,122.0600,124.3600,635410
2019-04-04,122.5500,123.4800,118.6500,121.5900,372170
2019-04-03,123.0100,123.9200,122.0900,122.6300,419684
2019-04-02,119.6200,122.5000,118.4300,121.4800,395004
2019-04-01,118.3100,119.9600,115.4400,118.9400,575199
2019-03-29,117.0500,118.5200,116.2500,117.6900,537487
2019-03-28,116.4100,117.9900,115.2100,116.4500,337764
2019-03-27,121.8000,123.3300,114.4000,115.7100,3053969
2019-03-26,121.9400,122.4500,120.4800,121.2700,354378
2019-03-25,118.2300,121.9352,116.4001,120.4700,600871
2019-03-22,124.9300,125.2900,118.8800,119.2500,567525
2019-03-21,122.5400,126.2200,122.5400,125.5500,355720
2019-03-20,120.6200,124.0000,120.1200,122.7600,536222
2019-03-19,126.8900,127.8050,120.3400,121.3300,823996
2019-03-18,125.2300,128.0800,124.1800,127.8300,444441
2019-03-15,126.2400,127.3681,124.6700,124.7100,1061935
2019-03-14,124.9500,126.0900,123.7750,125.4700,311980
2019-03-13,124.1900,126.5199,124.1300,125.0300,486539
2019-03-12,122.6700,124.9300,120.6400,123.9800,510357
2019-03-11,122.2000,123.3300,120.7100,122.9700,817843
2019-03-08,119.6400,122.8849,118.6200,122.2000,785346
2019-03-07,124.0200,125.7700,121.1500,121.6900,930838
2019-03-06,128.3500,129.0700,124.5450,124.7400,844193
2019-03-05,130.0000,132.8800,128.9174,129.3600,502391
2019-03-04,130.3200,130.7900,126.5400,130.7800,891157
