timestamp,open,high,low,close,volume
2019-07-17,213.8300,215.5300,213.2300,214.3400,848273
2019-07-16,214.8000,217.3300,212.5500,215.5200,5283066
2019-07-15,214.1100,214.6000,209.7900,211.5800,2600222
2019-07-12,212.0000,214.1900,210.7900,213.9400,2626026
2019-07-11,206.2000,212.5900,206.0000,211.3500,3691619
2019-07-10,207.1800,208.9900,205.6500,205.9700,1779844
2019-07-09,203.7500,207.9400,203.5400,207.7700,1812186
2019-07-08,206.3600,207.2500,204.7050,205.7500,1853938
2019-07-05,206.8600,208.7600,206.2000,207.9000,1511445
2019-07-03,207.3000,207.4000,205.2300,206.0400,978795
2019-07-02,205.4000,206.3050,204.1600,205.9800,1626880
2019-07-01,208.0000,209.8500,205.7350,206.8600,2468489
2019-06-28,203.5000,205.8400,202.9400,204.6000,4854919
2019-06-27,197.5700,199.6050,196.7600,199.3200,2239186
2019-06-26,196.5000,197.8700,196.1200,197.0100,1649866
2019-06-25,197.5000,197.5200,194.0142,196.0600,1828309
2019-06-24,196.5300,199.3500,196.0300,197.4900,2069816
2019-06-21,195.3400,198.3400,193.9700,195.9400,3365504
2019-06-20,197.5000,198.1900,193.6100,195.7000,2749296
2019-06-19,195.3500,197.6100,194.7900,195.6400,2196816
2019-06-18,190.6700,197.1300,190.6700,194.9800,2362978
2019-06-17,192.0200,193.2300,190.7400,190.8300,1155579
2019-06-14,191.2900,192.1700,189.3100,191.6600,1403930
2019-06-13,190.4100,192.2500,190.0700,191.4500,1411616
2019-06-12,193.6100,194.0507,189.8300,190.2200,2059406
2019-06-11,195.3000,196.1153,193.5100,194.7300,1632227
2019-06-10,191.4000,197.0000,191.4000,194.1200,2372134
2019-06-07,189.8800,190.6100,188.5200,189.8100,1838954
2019-06-06,188.0600,190.7400,187.3100,189.8100,1653532
2019-06-05,190.1000,190.1600,187.0100,188.4400,1968185
2019-06-04,186.1800,189.9900,185.7100,189.8800,2421063
2019-06-03,181.7000,183.4900,180.7300,183.1900,2857821
2019-05-31,184.7700,184.8900,182.3100,182.4900,2640393
2019-05-30,188.0900,189.3698,186.0100,187.3700,1919327
2019-05-29,187.7400,188.6500,184.9200,188.0500,2815797
2019-05-28,192.0000,193.3100,189.3900,189.4400,3039950
2019-05-24,192.8900,194.0700,191.6800,193.0000,1637338
2019-05-23,193.0000,193.0000,189.5600,191.9700,3184179
2019-05-22,197.4400,198.4800,195.4600,195.5200,2427247
2019-05-21,198.6600,199.3200,198.0005,199.1100,2327767
2019-05-20,197.0900,197.7800,195.5700,197.2400,2483484
2019-05-17,196.3000,199.0900,196.3000,197.4300,1928394
2019-05-16,196.6300,200.0000,196.6231,199.1400,2008310
2019-05-15,194.6400,197.5900,193.4200,196.4000,2271501
2019-05-14,194.9900,198.1300,194.9000,196.2800,2463391
2019-05-13,197.9000,197.9000,194.0000,194.9700,3605565
2019-05-10,200.9800,202.1000,198.9900,202.0500,2089764
2019-05-09,199.5100,202.2200,197.9100,201.6300,2333539
2019-05-08,201.4000,203.2000,200.7950,200.9500,1817714
2019-05-07,203.3400,204.0000,201.0100,202.6300,2839464
2019-05-06,202.8000,206.9800,201.7100,206.4300,1927994
2019-05-03,206.0100,208.7500,205.6700,207.5200,1897692
2019-05-02,204.4300,206.2200,203.1200,204.9900,1514660
2019-05-01,206.4000,208.4086,204.0300,204.7300,1981789
2019-04-30,206.9400,207.9899,204.1500,205.9200,1833416
2019-04-29,203.5000,208.0000,203.2700,206.9200,2997024
2019-04-26,201.7300,203.1200,200.3200,203.0800,1543137
2019-04-25,199.7000,202.5600,199.1000,201.4000,2075273
2019-04-24,203.0000,203.5200,199.7300,200.5400,4606367
2019-04-23,204.2500,205.1900,202.7400,204.1400,2121243
2019-04-22,205.1200,205.5900,204.1400,204.6000,1591430
2019-04-18,207.0900,207.8600,205.1500,205.9100,2874292
2019-04-17,201.9600,208.5000,201.7800,207.9000,4195336
2019-04-16,199.6200,202.9400,199.2400,201.8400,4852969
2019-04-15,204.1100,205.7356,199.7000,199.9100,6617232
2019-04-12,207.0000,209.9700,206.3700,207.8400,5096630
2019-04-11,204.2300,205.4500,201.5700,202.8300,2802400
2019-04-10,201.8000,203.1700,200.2736,202.9800,1907115
2019-04-09,201.2300,201.5900,198.8600,200.6200,2400893
2019-04-08,202.7900,203.6300,201.1800,202.5400,1891580
2019-04-05,203.3800,205.5000,202.0600,202.3800,2447288
2019-04-04,200.8000,204.2900,200.5000,202.2300,2582379
2019-04-03,199.2500,201.0900,198.5400,200.8600,3227885
2019-04-02,196.2400,197.7600,195.4000,197.5000,2246979
2019-04-01,194.0000,198.0900,193.6100,196.7400,3562556
2019-03-29,192.6800,193.1050,191.1400,191.9900,2632797
2019-03-28,190.7400,191.9086,189.2900,191.1800,2343428
2019-03-27,190.6000,191.6100,188.7400,190.0300,2343810
2019-03-26,190.0300,192.4100,188.6900,190.6900,2910110
2019-03-25,189.3300,191.4500,186.5000,188.5100,3751226
2019-03-22,192.6700,193.7100,187.7800,188.9600,5703063
2019-03-21,192.9000,195.5500,191.7500,194.5800,4031526
2019-03-20,200.3300,200.3300,193.9700,194.3200,5033491
2019-03-19,204.8800,206.4500,200.7800,201.1200,3284871
2019-03-18,199.1800,203.8500,198.9200,202.4700,3355202
2019-03-15,197.1600,198.8500,196.8507,198.2600,2985264
2019-03-14,197.3200,198.5000,196.7000,197.4700,1482382
2019-03-13,197.7500,198.9300,196.5200,197.2500,1904531
2019-03-12,196.0000,197.3976,195.6900,196.6300,1977361
2019-03-11,197.2300,198.9700,195.7300,195.9700,2669014
2019-03-08,190.4000,195.7650,189.7118,195.2400,3162760
2019-03-07,193.1300,193.4500,190.0800,192.7700,3567935
2019-03-06,195.9000,197.5634,194.5300,194.7400,2247480
2019-03-05,195.8500,196.1800,193.0000,196.0000,2338725
2019-03-04,198.8100,200.8300,194.1500,195.9800,2683593
2019-03-01,198.7500,201.4400,197.4300,198.2000,2580797
2019-02-28,198.0400,198.4000,196.0100,196.7000,2964439
2019-02-27,198.5000,199.8900,197.1200,198.1000,1804501
2019-02-26,198.4700,200.5600,196.5500,198.9000,2499795
2019-02-25,198.0000,201.5000,197.7139,198.6500,3032171
